OBJECTID,ID_4Digit,Name,Latitude,Longitude,Address,Advertised Hours,Confirmed Hours:,Confirmed Hours Other:,Showers,Menstrual Products,ADA Accessible,Baby Changing,Gender Neutral,Restroom Open Status,Restroom Assessed,Category,Public Buildings,Outdoor Facilities,Government Facilities,Other,Commercial,Transportation (MTS),PSJ Team Internal Notes,Public Restrooms in San Diego,Operated By,GlobalID,CreationDate,Creator,EditDate,Editor,Restroom assessment date:
456,1058,Breeze Hill Park,33.18649612,-117.2537383,"645 S Melrose Dr, Vista, CA 92081","7:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Vista,aeeedccc-849c-441d-a01f-fdd95f6da418,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
457,1187,Emerald Hills Neighborhood Park,32.7212173,-117.074444,"1501 Kelton Rd, San Diego, CA 92114","7:00am - 8:00pm, daily",,,,,,,,1,,,,,,,,,,1,City of San Diego,c2dc7711-e9f2-4d1c-81d6-743c8bfa56d6,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
458,1603,San Marcos Sunset Park,33.14517238,-117.2104282,"803 Puesta Del Sol, San Marcos, CA 92078","7:00am - 9:00pm, daily",,,,,,,,,,,,,,,,,,1,City of San Marcos,0eef5caf-b812-47cc-b981-575619bb36be,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
459,1816,San Marcos Sunset Park Dog Park,33.14656138,-117.2136361,"803 Puesta Del Sol, San Marcos, CA 92078","7:00am - 9:00pm, daily",,,,,,,,,,,,,,,,,,1,City of San Marcos,86deabf8-1de3-4702-9a11-a38b9e8c05fc,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
460,1605,Sunset View Park,32.63343923,-116.9619584,"1390 S Greensview Dr, Chula Vista, CA 91915","7:00am - 9:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Chula Vista,910e65d6-5eaf-4ad4-8d30-1ac85ff0ab5c,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
461,1610,Sycamore Canyon Park,32.92230124,-117.0394295,"13745 Stonebridge Pkwy, San Diego, CA 92131",24/7,,,,,,,,,,,,,,,,,,1,City of San Diego,fb11ea98-1d01-4346-b4d7-8c0cdfe6820a,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
462,1235,Grove Park,33.13627599,-117.071396,"745 N Ash St, Escondido, CA 92026","7:00am - 9:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Escondido,e044e9d5-aac8-4f64-8a25-d399d86d1db9,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
463,1071,El Cajon City Park,32.79853122,-116.9543756,"551 E Park Ave, El Cajon, CA 92020","7:00am - 9:00pm, daily",,,,,,,,,,,,,,,,,,1,City of El Cajon,97e864ab-bfae-4ffa-9f26-d6bc1c6ffa26,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
464,1078,Cardiff Beach,33.01470395,-117.2805995,"2500 S Coast Hwy 101, Cardiff, CA 92007","7:00am to Sunset, daily",,,,,,,,,,,,,,,,,,1,State of CA,5cd918bd-6ac7-4a6f-bc8a-3c2e7f08f0dc,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
465,1080,Cardiff State Beach Tower 10,33.00177069,-117.2771885,"355 S Coast Hwy 101, Solana Beach, CA 92075","7:00am to Sunset, daily",,,,,,,,,,,,,,,,,,1,State of CA,b1011337-1aa2-472f-ad6b-769b653663ed,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
